Продукт,углеводы(г/100г),белки(г/100г),жиры(г/100г),ккал(100г)
Сахар коричневый,98.09 г,0.12 г,0.00 г,392 кКал
Сахар сахарный песок,99.98 г,0.00 г,0.00 г,400 кКал
Аспартам заменитель сахара,89.08 г,2.17 г,0.00 г,356 кКал
Конфеты Skittles,90.78 г,0.19 г,4.37 г,363 кКал
Сукралоза заменитель сахара,91.17 г,0.00 г,0.00 г,365 кКал
Стевия (сахарозаменитель) заменитель сахара,100.00 г,0.00 г,0.00 г,400 кКал
Шоколад тёмный (45-59% какао),61.17 г,4.88 г,31.28 г,245 кКал
Шоколад тёмный (60-69% какао),52.42 г,6.12 г,38.31 г,210 кКал
Шоколад тёмный (70-85% какао),45.90 г,7.79 г,42.63 г,184 кКал
Сироп агавы заменитель сахара. подсластитель,76.37 г,0.09 г,0.45 г,305 кКал
Чипсы картофельные без соли,67.80 г,7.10 г,20.80 г,271 кКал
Попкорн без соли,77.90 г,12.00 г,4.20 г,312 кКал
Крендельки без соли,79.20 г,9.10 г,3.50 г,317 кКал
Лосятина приготовленная,0.00 г,30.19 г,1.90 г,146 кКал
Козлятина сырая,0.00 г,20.60 г,2.31 г,109 кКал
Козлятина приготовленная,0.00 г,27.10 г,3.03 г,143 кКал
Конина приготовленная,0.00 г,28.14 г,6.05 г,175 кКал
Конина сырая,0.00 г,21.39 г,4.60 г,133 кКал
Крольчатина сырая,0.00 г,20.05 г,5.55 г,136 кКал
Крольчатина приготовленная,0.00 г,29.06 г,8.05 г,197 кКал
Баранина сырая,0.00 г,20.52 г,4.19 г,125 кКал
Баранина приготовленная,0.00 г,28.17 г,6.67 г,180 кКал
Телятина приготовленная,0.00 г,31.90 г,6.58 г,196 кКал
Телятина сырая,0.00 г,20.20 г,2.87 г,112 кКал
Мясо бобра приготовленное,0.00 г,34.85 г,6.96 г,212 кКал
Мясо бифало сырое,0.00 г,23.30 г,4.80 г,143 кКал
Мясо бифало приготовленное,0.00 г,30.66 г,6.32 г,188 кКал
Мясо бобра сырое,0.00 г,24.05 г,4.80 г,146 кКал
Мясо дикого кабана сырое,0.00 г,21.51 г,3.33 г,122 кКал
Мясо дикого кабана приготовленное,0.00 г,28.30 г,4.38 г,160 кКал
Оленина сырая,0.00 г,22.96 г,2.42 г,120 кКал
Оленина приготовленная,0.00 г,30.21 г,3.19 г,158 кКал
Лосятина сырая,0.00 г,22.95 г,1.45 г,111 кКал
Мясо антилопы сырое,0.00 г,22.38 г,2.03 г,114 кКал
Мясо антилопы приготовленное,0.00 г,29.45 г,2.67 г,150 кКал
Медвежатина сырая,0.00 г,20.10 г,8.30 г,161 кКал
Медвежатина приготовленная,0.00 г,32.42 г,13.39 г,259 кКал
Мясо бизона приготовленное,0.00 г,25.45 г,8.62 г,179 кКал
Мясо бизона сырое,0.05 г,20.23 г,7.21 г,0 кКал
Гамбургер (Макдоналдс),30.28 г,12.92 г,10.09 г,121 кКал
Чизбургер (Макдоналдс),27.81 г,12.97 г,11.79 г,111 кКал
Хот-дог,18.40 г,10.60 г,14.84 г,74 кКал
Луковые кольца,43.58 г,3.86 г,25.23 г,174 кКал
Мука кукурузная белая цельнозерновая,76.85 г,6.93 г,3.86 г,307 кКал
Мука кукурузная,82.75 г,5.59 г,1.39 г,331 кКал
Мука кукурузная белая (маса),76.59 г,8.46 г,3.69 г,306 кКал
Крахмал кукурузный,91.27 г,0.26 г,0.05 г,365 кКал
Кускус крупа сухая,77.43 г,12.76 г,0.64 г,310 кКал
Кускус варёный на воде,23.22 г,3.79 г,0.16 г,93 кКал
Пшено крупа пшённая сухая,72.85 г,11.02 г,4.22 г,291 кКал
Пшено варёное на воде,23.67 г,3.51 г,1.00 г,95 кКал
Отруби овсяные необработанные термически,66.22 г,17.30 г,7.03 г,265 кКал
Крупа амарантовая сухая (семена),65.25 г,13.56 г,7.02 г,261 кКал
Амарант зёрна приготовленные,18.69 г,3.80 г,1.58 г,75 кКал
Мука арроурут,88.15 г,0.30 г,0.10 г,353 кКал
Крупа ячневая в сухом виде,73.48 г,12.48 г,2.30 г,294 кКал
Перловка крупа перловая сухая,77.72 г,9.91 г,1.16 г,311 кКал
Перловка варёная на воде (перловая каша),28.22 г,2.26 г,0.44 г,113 кКал
Гречка зелёная сухая,71.50 г,13.25 г,3.40 г,286 кКал
Гречка крупа гречневая сухая (коричневая),74.95 г,11.73 г,2.71 г,300 кКал
Мука гречневая,70.59 г,12.62 г,3.10 г,282 кКал
Булгур сухой. крупа,75.87 г,12.29 г,1.33 г,303 кКал
Булгур варёный на воде (каша),18.58 г,3.08 г,0.24 г,74 кКал
Гречка варёная на воде (гречневая каша),19.94 г,3.38 г,0.62 г,80 кКал
Зёрна кукурузы сухие,74.26 г,9.42 г,4.74 г,297 кКал
Отруби кукурузные необработанные термически,85.64 г,8.36 г,0.92 г,343 кКал
Мука кукурузная жёлтая цельнозерновая,76.85 г,6.93 г,3.86 г,307 кКал
Рис клейкий (липкий) в сухом виде,81.68 г,6.81 г,0.55 г,327 кКал
Рис клейкий (липкий) варёный,21.09 г,2.02 г,0.19 г,84 кКал
Мука рисовая,80.13 г,5.95 г,1.42 г,321 кКал
Ржаное зерно (рожь) в сухом виде,75.86 г,10.34 г,1.63 г,303 кКал
Отруби рисовые необработанные термически,49.69 г,13.35 г,20.85 г,199 кКал
Мука ржаная,76.68 г,9.82 г,1.33 г,307 кКал
Киноа крупа сухая,64.16 г,14.12 г,6.07 г,257 кКал
Рис бурый длиннозерный в сухом виде,76.25 г,7.54 г,3.20 г,305 кКал
Рис бурый длиннозерный варёный,25.58 г,2.74 г,0.97 г,102 кКал
Овсянка крупа овсяная в сухом виде,66.27 г,16.89 г,6.90 г,265 кКал
Рис бурый варёный,23.51 г,2.32 г,0.83 г,94 кКал
Рис бурый пропаренный в сухом виде,78.68 г,7.60 г,2.75 г,315 кКал
Рис бурый в сухом виде,76.17 г,7.50 г,2.68 г,305 кКал
Пшеница пророщенная в свежем виде,42.53 г,7.49 г,1.27 г,170 кКал
Рис дикий в сухом виде,74.90 г,14.73 г,1.08 г,300 кКал
Рис дикий варёный,21.34 г,3.99 г,0.34 г,85 кКал
Лапша кукурузная в сухом виде,79.26 г,7.46 г,2.08 г,317 кКал
Лапша кукурузная варёная,27.91 г,2.63 г,0.73 г,112 кКал
Мука из бурого риса,76.48 г,7.23 г,2.78 г,306 кКал
Лапша домашняя варёная,23.54 г,5.28 г,1.74 г,94 кКал
Сорго крупа в сухом виде,72.09 г,10.62 г,3.46 г,288 кКал
Тапиока в сухом виде,88.69 г,0.19 г,0.02 г,355 кКал
Тритикале неприготовленная (зерно),72.13 г,13.05 г,2.09 г,289 кКал
Мука из тритикале,73.14 г,13.18 г,1.81 г,293 кКал
Отруби пшеничные необработанные термически,64.51 г,15.55 г,4.25 г,258 кКал
Мука цельнозерновая (пшеничная),71.97 г,13.21 г,2.50 г,288 кКал
Лапша пшеничная (удон) варёная,27.54 г,4.00 г,0.18 г,110 кКал
Лапша из цельнозерновой пшеницы в сухом виде,73.37 г,13.87 г,2.93 г,293 кКал
Лапша из цельнозерновой пшеницы варёные,30.07 г,5.99 г,1.71 г,120 кКал
Мука ячменная солодовая,78.30 г,10.28 г,1.84 г,313 кКал
Мука овсяная,65.70 г,14.66 г,9.12 г,263 кКал
Лапша рисовая в сухом виде,80.18 г,5.95 г,0.56 г,321 кКал
Мука ячменная,74.52 г,10.50 г,1.60 г,298 кКал
Лапша гречневая (соба) в сухом виде,74.62 г,14.38 г,0.71 г,298 кКал
Лапша гречневая (соба) варёная,21.44 г,5.06 г,0.10 г,86 кКал
Лапша пшеничная (удон) в сухом виде,74.10 г,11.35 г,0.81 г,296 кКал
Лапша рисовая варёная,24.01 г,1.79 г,0.20 г,96 кКал
Киноа варёное на воде,21.30 г,4.40 г,1.92 г,85 кКал
Полба варёная на воде,26.44 г,5.50 г,0.85 г,106 кКал
Крупа теф в сухом виде,73.13 г,13.30 г,2.38 г,293 кКал
Теф приготовленный,19.86 г,3.87 г,0.65 г,79 кКал
Полба крупа в сухом виде,70.19 г,14.57 г,2.43 г,281 кКал
Мука пшеничная высшего сорта,76.22 г,9.71 г,1.48 г,305 кКал
Рис бурый пропаренный варёный,31.33 г,3.09 г,0.85 г,125 кКал
Мука сорго,76.85 г,9.53 г,1.24 г,307 кКал
Мука пшеничная первого сорта,73.81 г,11.50 г,1.45 г,295 кКал
Мука пшеничная второго сорта,72.20 г,13.07 г,1.38 г,289 кКал
Мука пшеничная обойная,69.88 г,15.33 г,1.41 г,280 кКал
Мука пшённая,75.12 г,10.75 г,4.25 г,300 кКал
Мука сорго цельнозерновая,76.64 г,8.43 г,3.34 г,307 кКал
Лапша (макароны. паста) варёная,30.86 г,5.80 г,0.93 г,123 кКал
Лапша (макароны. паста) в сухом виде,74.67 г,13.04 г,1.51 г,299 кКал
Лапша яичная в сухом виде,71.27 г,14.16 г,4.44 г,285 кКал
Лапша яичная варёная,25.16 г,4.54 г,2.07 г,101 кКал
Рис варёный (на воде),28.59 г,2.38 г,0.21 г,114 кКал
Рис круглозёрный в сухом виде,79.15 г,6.50 г,0.52 г,317 кКал
Рис круглозёрный варёный,28.73 г,2.36 г,0.19 г,115 кКал
Рис в сухом виде,79.34 г,6.61 г,0.58 г,317 кКал
Рис длиннозёрный в сухом виде,79.95 г,7.13 г,0.66 г,320 кКал
Рис длиннозёрный варёный,28.17 г,2.69 г,0.28 г,113 кКал
Рис пропаренный в сухом виде,80.89 г,7.51 г,1.03 г,324 кКал
Рис пропаренный варёный,26.05 г,2.91 г,0.37 г,104 кКал
Мука пшеничная универсальная,76.31 г,10.33 г,0.98 г,305 кКал
Сухари из хлеба,66.36 г,12.34 г,15.14 г,265 кКал
Фарш говяжий сырой. 20% жира,0.00 г,17.17 г,20.00 г,254 кКал
Говяжий рубец отварной,1.99 г,11.71 г,4.05 г,8 кКал
Говяжьи рёбра сырые,0.00 г,21.31 г,6.78 г,146 кКал
Говяжья шея (Чак Ай Ролл) сырая,0.00 г,19.38 г,11.45 г,181 кКал
Говяжий толстый край сырой,1.31 г,18.22 г,16.31 г,5 кКал
Говяжий огузок. кострец сырой,1.32 г,19.88 г,4.92 г,5 кКал
Говяжья пашина. брюшина. фланк в сыром виде,0.00 г,20.12 г,8.90 г,161 кКал
Говяжья голяшка сырая,0.00 г,20.61 г,7.20 г,147 кКал
Говяжья лопатка сырая,0.00 г,21.29 г,8.22 г,159 кКал
Говяжья грудинка сырая,0.00 г,15.81 г,31.27 г,345 кКал
Говядина сырая. мясо без жира,0.05 г,22.03 г,4.99 г,0 кКал
Говяжий тонкий край (Стриплойн) сырой,0.60 г,18.49 г,19.53 г,2 кКал
Говяжья вырезка (Тендерлойн) сырая,0.00 г,21.04 г,6.88 г,146 кКал
Лепёшка паратха,45.35 г,6.36 г,13.20 г,181 кКал
Лепёшка наан индийская пшеничная лепёшка,50.43 г,9.62 г,5.65 г,202 кКал
Хлеб из пророщенной пшеницы,33.88 г,13.16 г,0.00 г,136 кКал
Хлебцы мультизерновые,66.30 г,11.25 г,15.84 г,265 кКал
Хлеб мультизерновой,43.34 г,13.36 г,4.23 г,173 кКал
Имбирь маринованный,4.83 г,0.33 г,0.10 г,19 кКал
Сыр Филадельфия,7.66 г,15.69 г,1.00 г,31 кКал
Сыр мексиканский Кесо Чихуахуа,5.56 г,21.56 г,29.68 г,22 кКал
Белок куриного яйца в виде порошка,7.80 г,81.10 г,0.00 г,31 кКал
Молоко коровье 2% жирности,4.80 г,3.30 г,1.98 г,19 кКал
Сметана,7.10 г,3.50 г,10.60 г,28 кКал
Сметена обезжиренная,15.60 г,3.10 г,0.00 г,62 кКал
Протеиновые добавки на основе молока порошок,22.00 г,50.00 г,12.00 г,88 кКал
Сыр Кесо Фреско,2.98 г,18.09 г,23.82 г,12 кКал
Ряженка,4.88 г,3.21 г,3.31 г,20 кКал
Молоко сухое,38.42 г,26.32 г,26.71 г,154 кКал
Кефир,4.48 г,3.79 г,0.93 г,18 кКал
Йогурт,12.29 г,7.33 г,3.00 г,49 кКал
Сыр мексиканский Котиха,3.97 г,20.00 г,30.00 г,16 кКал
Сыр cливочный,5.52 г,6.15 г,34.44 г,22 кКал
Сыр Эдам,1.43 г,24.99 г,27.80 г,6 кКал
Сыр фета,4.09 г,14.21 г,21.28 г,16 кКал
Сыр Брюнуст,42.65 г,9.65 г,29.51 г,171 кКал
Сыр Гауда,2.22 г,24.94 г,27.44 г,9 кКал
Сыр Грюйер,0.36 г,29.81 г,32.34 г,1 кКал
Сыр Фонтина,1.55 г,25.60 г,31.14 г,6 кКал
Сыр Лимбургер,0.49 г,20.05 г,27.25 г,2 кКал
Сыр Монтерей,0.68 г,24.48 г,30.28 г,3 кКал
Сыр Моцарелла,5.58 г,23.75 г,19.78 г,22 кКал
Сыр Нёшатель,3.59 г,9.15 г,22.78 г,14 кКал
Сыр Пармезан,3.22 г,35.75 г,25.83 г,13 кКал
Сыр Мюнстер,1.12 г,23.41 г,30.04 г,4 кКал
Масло сливочное,0.00 г,0.28 г,99.48 г,876 кКал
Сыры с плесенью,2.34 г,21.40 г,28.74 г,9 кКал
Сыр Бри,0.45 г,20.75 г,27.68 г,2 кКал
Сыр Камамбер,0.46 г,19.80 г,24.26 г,2 кКал
Сыр Чеддер,3.09 г,22.87 г,33.31 г,12 кКал
Сыр Колби,2.57 г,23.76 г,32.11 г,10 кКал
Сыр Чешир,4.78 г,23.37 г,30.60 г,19 кКал
Творог 2% жирности,4.76 г,10.45 г,2.27 г,19 кКал
Сыр Пор-Салю,0.57 г,23.78 г,28.20 г,2 кКал
Сыр Проволоне,2.14 г,25.58 г,26.62 г,9 кКал
Сыр Рикотта,5.14 г,11.39 г,7.91 г,21 кКал
Сыр Пекорино Романо,3.63 г,31.80 г,26.94 г,15 кКал
Сыр Рокфор,2.00 г,21.54 г,30.64 г,8 кКал
Сыр Тильзитер,1.88 г,24.41 г,25.98 г,8 кКал
Сыр швейцарский,1.44 г,26.96 г,30.99 г,6 кКал
Молоко сгущённое,54.40 г,7.91 г,8.70 г,218 кКал
Молоко цельное коровье 3.7% жирности,4.65 г,3.28 г,3.66 г,19 кКал
Яйцо куриное сырое,0.72 г,12.56 г,9.51 г,3 кКал
Яичный белок в сыром виде,0.73 г,10.90 г,0.17 г,3 кКал
Яичный желток в сыром виде,3.59 г,15.86 г,26.54 г,14 кКал
Яйцо куриное жареное,0.83 г,13.61 г,14.84 г,3 кКал
Яйцо куриное варёное (вкрутую),1.12 г,12.58 г,10.61 г,4 кКал
Омлет яичный,0.64 г,10.57 г,11.66 г,3 кКал
Молоко козье,4.45 г,3.56 г,4.14 г,18 кКал
Молоко грудное женское,6.89 г,1.03 г,4.38 г,28 кКал
Молоко овечье,5.36 г,5.98 г,7.00 г,21 кКал
Молочная сыворотка,5.12 г,0.76 г,0.09 г,20 кКал
Сыр козий,0.12 г,21.58 г,29.84 г,0 кКал
Сыр мексиканский Аньехо,4.63 г,21.44 г,29.98 г,19 кКал
Сыр мексиканский Оахака,2.87 г,22.60 г,28.26 г,11 кКал
Желток куриного яйца в виде порошка,0.66 г,33.63 г,59.13 г,3 кКал
Яйцо утиное сырое,1.45 г,12.81 г,13.77 г,6 кКал
Яйцо гусиное сырое,1.35 г,13.87 г,13.27 г,5 кКал
Яйцо индейки сырое,1.15 г,13.68 г,11.88 г,5 кКал
Яйцо перепелиное сырое,0.41 г,13.05 г,11.09 г,2 кКал
Заменители яиц в виде порошка,21.80 г,55.50 г,13.00 г,87 кКал
Укроп сушёный,55.82 г,19.96 г,4.36 г,223 кКал
Семена фенхеля,52.29 г,15.80 г,14.87 г,209 кКал
Пажитник семена,58.35 г,23.00 г,6.41 г,233 кКал
Экстракт имбиря порошок,71.62 г,8.98 г,4.24 г,286 кКал
Мускатный орех пряность. молотый,50.50 г,6.71 г,32.38 г,202 кКал
Майоран специя в виде порошка,60.56 г,12.66 г,7.04 г,242 кКал
Чеснок сушёный,72.73 г,16.55 г,0.73 г,291 кКал
Семена горчицы молотая горчица,28.09 г,26.08 г,36.24 г,112 кКал
Луковый порошок,79.12 г,10.41 г,1.04 г,316 кКал
Орегано душица. высушенная,68.92 г,9.00 г,4.28 г,276 кКал
Паприка специя. в виде порошка,53.99 г,14.14 г,12.89 г,216 кКал
Петрушка сушёная,50.64 г,26.63 г,5.48 г,203 кКал
Перец белый молотый,68.61 г,10.40 г,2.12 г,274 кКал
Семена мака,28.13 г,17.99 г,41.56 г,113 кКал
Перец чёрный молотый,63.95 г,10.39 г,3.26 г,256 кКал
Перец душистый молотый,72.12 г,6.09 г,8.69 г,288 кКал
Семена аниса,50.02 г,17.60 г,15.90 г,200 кКал
Базилик сухой,47.75 г,22.98 г,4.07 г,191 кКал
Лавровый лист,74.97 г,7.61 г,8.36 г,300 кКал
Тмин семена,49.90 г,19.77 г,14.59 г,200 кКал
Кардамон,68.47 г,10.76 г,6.70 г,274 кКал
Семена сельдерея,41.35 г,18.07 г,25.27 г,165 кКал
Кервель ажурный сушёный,49.10 г,23.20 г,3.90 г,196 кКал
Перец чили молотый сухой,49.70 г,13.46 г,14.28 г,199 кКал
Гвоздика (пряность) приправа в виде порошка,65.53 г,5.97 г,13.00 г,262 кКал
Кориандр (кинза) лист высушенный,52.10 г,21.93 г,4.78 г,208 кКал
Семена кориандра,54.99 г,12.37 г,17.77 г,220 кКал
Корица порошок,80.59 г,3.99 г,1.24 г,322 кКал
Зира семена кумина,44.24 г,17.81 г,22.27 г,177 кКал
Семена укропа,55.17 г,15.98 г,14.54 г,221 кКал
Уксус,0.04 г,0.00 г,0.00 г,0 кКал
Ваниль экстракт,12.65 г,0.06 г,0.06 г,51 кКал
Каперсы маринованные,4.89 г,2.36 г,0.86 г,20 кКал
Хрен столовый. готовый к употреблению,11.29 г,1.18 г,0.69 г,45 кКал
Розмарин свежий,20.70 г,3.31 г,5.86 г,83 кКал
Мята перечная свежая,14.89 г,3.75 г,0.94 г,60 кКал
Мята свежая,8.41 г,3.29 г,0.73 г,34 кКал
Мята сушёная,52.04 г,19.93 г,6.03 г,208 кКал
Розмарин сушёный,64.06 г,4.88 г,15.22 г,256 кКал
Шафран специя,65.37 г,11.43 г,5.85 г,261 кКал
Шалфей молотый,60.73 г,10.63 г,12.75 г,243 кКал
Чабер молотый,68.73 г,6.73 г,5.91 г,275 кКал
Эстрагон сушёный,50.22 г,22.77 г,7.24 г,201 кКал
Тимьян сушёный,63.94 г,9.11 г,7.43 г,256 кКал
Куркума приправа в виде порошка,67.14 г,9.68 г,3.25 г,269 кКал
Базилик свежий,2.65 г,3.15 г,0.64 г,11 кКал
Укроп свежий,7.02 г,3.46 г,1.12 г,28 кКал
Горчица столовая. пастообразная,5.83 г,3.74 г,3.34 г,23 кКал
Соль столовая,0.00 г,0.00 г,0.00 г,0 кКал
Уксус яблочный,0.93 г,0.00 г,0.00 г,4 кКал
Тимьян свежий,24.45 г,5.56 г,1.68 г,98 кКал
Уксус винный (красный),0.27 г,0.04 г,0.00 г,1 кКал
Уксус бальзамический,17.03 г,0.49 г,0.00 г,68 кКал
Масло льняное,0.00 г,0.11 г,99.98 г,884 кКал
Фруктоза заменитель сахара,100.00 г,0.00 г,0.00 г,400 кКал
Сыр плавленый,3.50 г,7.10 г,28.60 г,14 кКал
Фазан приготовленный,0.00 г,32.40 г,12.10 г,239 кКал
Сахарин заменитель сахара,89.11 г,0.94 г,0.00 г,356 кКал
Морс клюквенный без сахара,12.20 г,0.39 г,0.13 г,49 кКал
Чипсы кукурузные (начос) без соли,57.40 г,6.60 г,33.40 г,230 кКал
Медуза сушёная,0.00 г,5.50 г,1.40 г,36 кКал
Сакэ,5.00 г,0.50 г,0.00 г,20 кКал
Глютен (клейковина пшеничная) в сухом виде,13.79 г,75.16 г,1.85 г,55 кКал
Скумбрия солёная,0.00 г,18.50 г,25.10 г,305 кКал
Лягушачьи лапки сырые,0.00 г,16.40 г,0.30 г,73 кКал
Морской гребешок приготовленный,5.41 г,20.54 г,0.84 г,22 кКал
Улитки сырые,2.00 г,16.10 г,1.40 г,8 кКал
